Real,User,Sys,Algorithm,Vertex_ID,Unvisited
1.42,1.15,0.24,Sync2p,4296099,447224
1.43,1.19,0.21,Sync2pTile,4296099,447224
1.60,1.32,0.25,AsyncTile,171285,447224
1.62,1.38,0.22,Async,171285,447224
1.50,1.25,0.22,Sync,171285,447224
1.47,1.26,0.19,SyncTile,171285,447224
1.44,1.19,0.22,Sync2p,171285,447224
1.43,1.16,0.25,Sync2pTile,171285,447224
1.61,1.34,0.24,AsyncTile,710189,447224
1.62,1.38,0.22,Async,710189,447224
1.53,1.29,0.22,Sync,710189,447224
1.49,1.23,0.24,SyncTile,710189,447224
1.43,1.14,0.26,Sync2p,710189,447224
1.46,1.17,0.26,Sync2pTile,710189,447224
1.60,1.32,0.26,AsyncTile,3305338,447224
1.62,1.36,0.24,Async,3305338,447224
1.51,1.21,0.28,Sync,3305338,447224
1.54,1.27,0.25,SyncTile,3305338,447224
1.42,1.14,0.25,Sync2p,3305338,447224
1.43,1.17,0.23,Sync2pTile,3305338,447224
1.58,1.35,0.21,AsyncTile,4784981,447224
1.62,1.38,0.22,Async,4784981,447224
1.50,1.21,0.27,Sync,4784981,447224
1.48,1.21,0.25,SyncTile,4784981,447224
1.43,1.19,0.22,Sync2p,4784981,447224
1.44,1.17,0.25,Sync2pTile,4784981,447224
1.61,1.38,0.21,AsyncTile,2411243,447224
1.63,1.34,0.27,Async,2411243,447224
1.52,1.28,0.22,Sync,2411243,447224
1.49,1.22,0.24,SyncTile,2411243,447224
1.43,1.16,0.25,Sync2p,2411243,447224
1.44,1.18,0.23,Sync2pTile,2411243,447224
1.60,1.36,0.22,AsyncTile,2698559,447224
1.64,1.39,0.22,Async,2698559,447224
1.50,1.24,0.24,Sync,2698559,447224
1.56,1.28,0.26,SyncTile,2698559,447224
1.42,1.16,0.23,Sync2p,2698559,447224
1.45,1.21,0.21,Sync2pTile,2698559,447224
1.58,1.32,0.23,AsyncTile,3097050,447224
1.61,1.37,0.22,Async,3097050,447224
1.51,1.24,0.24,Sync,3097050,447224
1.50,1.22,0.26,SyncTile,3097050,447224
1.43,1.16,0.25,Sync2p,3097050,447224
1.44,1.18,0.25,Sync2pTile,3097050,447224
1.59,1.33,0.24,AsyncTile,3010561,447224
1.62,1.36,0.23,Async,3010561,447224
1.49,1.22,0.25,Sync,3010561,447224
1.49,1.25,0.22,SyncTile,3010561,447224
1.42,1.18,0.21,Sync2p,3010561,447224
1.44,1.17,0.24,Sync2pTile,3010561,447224
1.60,1.33,0.25,AsyncTile,2075559,447224
1.62,1.37,0.22,Async,2075559,447224
1.52,1.27,0.23,Sync,2075559,447224
1.51,1.26,0.22,SyncTile,2075559,447224
1.42,1.20,0.20,Sync2p,2075559,447224
1.43,1.18,0.23,Sync2pTile,2075559,447224
