Real,User,Sys,Algorithm,Vertex_ID,Unvisited
0.38,0.21,0.16,Sync2pTile,3913567,6009550
0.39,0.24,0.14,AsyncTile,5957222,5995710
0.39,0.22,0.16,Async,5957222,5995710
0.38,0.21,0.17,Sync,5957222,5995710
0.39,0.19,0.19,SyncTile,5957222,5995710
0.39,0.22,0.16,Sync2p,5957222,5995710
0.39,0.23,0.15,Sync2pTile,5957222,5995710
0.40,0.23,0.16,AsyncTile,4131797,6009549
0.38,0.22,0.16,Async,4131797,6009549
0.39,0.24,0.14,Sync,4131797,6009549
0.39,0.24,0.14,SyncTile,4131797,6009549
0.38,0.22,0.16,Sync2p,4131797,6009549
0.38,0.18,0.19,Sync2pTile,4131797,6009549
0.38,0.23,0.14,AsyncTile,5931491,5996473
0.38,0.21,0.17,Async,5931491,5996473
0.40,0.22,0.16,Sync,5931491,5996473
0.39,0.21,0.17,SyncTile,5931491,5996473
0.39,0.22,0.17,Sync2p,5931491,5996473
0.40,0.22,0.17,Sync2pTile,5931491,5996473
0.39,0.22,0.16,AsyncTile,5437728,6008551
0.38,0.23,0.14,Async,5437728,6008551
0.39,0.24,0.14,Sync,5437728,6008551
0.40,0.25,0.14,SyncTile,5437728,6008551
0.38,0.21,0.16,Sync2p,5437728,6008551
0.39,0.23,0.16,Sync2pTile,5437728,6008551
0.38,0.20,0.17,AsyncTile,5071662,6009488
0.39,0.22,0.16,Async,5071662,6009488
0.39,0.23,0.15,Sync,5071662,6009488
0.39,0.21,0.17,SyncTile,5071662,6009488
0.39,0.21,0.17,Sync2p,5071662,6009488
0.39,0.22,0.15,Sync2pTile,5071662,6009488
0.39,0.22,0.16,AsyncTile,5963375,6008018
0.39,0.21,0.17,Async,5963375,6008018
0.39,0.23,0.15,Sync,5963375,6008018
0.39,0.24,0.15,SyncTile,5963375,6008018
0.39,0.21,0.17,Sync2p,5963375,6008018
0.39,0.20,0.18,Sync2pTile,5963375,6008018
0.38,0.22,0.15,AsyncTile,4826748,6009129
0.40,0.24,0.15,Async,4826748,6009129
0.39,0.19,0.19,Sync,4826748,6009129
0.39,0.21,0.17,SyncTile,4826748,6009129
0.39,0.23,0.15,Sync2p,4826748,6009129
0.38,0.20,0.17,Sync2pTile,4826748,6009129
0.38,0.22,0.16,AsyncTile,4184773,6009538
0.38,0.20,0.18,Async,4184773,6009538
0.39,0.21,0.18,Sync,4184773,6009538
0.39,0.23,0.16,SyncTile,4184773,6009538
0.39,0.22,0.16,Sync2p,4184773,6009538
0.39,0.21,0.18,Sync2pTile,4184773,6009538
0.38,0.22,0.16,AsyncTile,4273615,6009488
0.38,0.20,0.18,Async,4273615,6009488
0.39,0.25,0.13,Sync,4273615,6009488
0.37,0.23,0.13,SyncTile,4273615,6009488
0.39,0.23,0.15,Sync2p,4273615,6009488
0.39,0.24,0.14,Sync2pTile,4273615,6009488
0.38,0.20,0.17,AsyncTile,4420238,6009539
0.38,0.21,0.17,Async,4420238,6009539
0.38,0.19,0.19,Sync,4420238,6009539
0.38,0.22,0.15,SyncTile,4420238,6009539
0.37,0.21,0.16,Sync2p,4420238,6009539
0.38,0.23,0.14,Sync2pTile,4420238,6009539
0.38,0.24,0.13,AsyncTile,5446214,6008326
0.38,0.20,0.17,Async,5446214,6008326
0.38,0.20,0.17,Sync,5446214,6008326
0.38,0.20,0.17,SyncTile,5446214,6008326
0.38,0.21,0.16,Sync2p,5446214,6008326
0.39,0.22,0.16,Sync2pTile,5446214,6008326
0.38,0.25,0.12,AsyncTile,4070901,6009550
0.39,0.20,0.18,Async,4070901,6009550
0.38,0.25,0.13,Sync,4070901,6009550
0.38,0.21,0.16,SyncTile,4070901,6009550
0.38,0.22,0.15,Sync2p,4070901,6009550
0.38,0.22,0.16,Sync2pTile,4070901,6009550
0.38,0.23,0.15,AsyncTile,5577889,6009535
0.38,0.20,0.17,Async,5577889,6009535
0.38,0.21,0.17,Sync,5577889,6009535
0.38,0.19,0.18,SyncTile,5577889,6009535
0.38,0.21,0.16,Sync2p,5577889,6009535
0.38,0.20,0.17,Sync2pTile,5577889,6009535
0.38,0.23,0.15,AsyncTile,4178882,6009543
0.38,0.18,0.19,Async,4178882,6009543
0.37,0.20,0.17,Sync,4178882,6009543
0.38,0.21,0.16,SyncTile,4178882,6009543
0.38,0.21,0.16,Sync2p,4178882,6009543
0.38,0.21,0.15,Sync2pTile,4178882,6009543
0.38,0.20,0.17,AsyncTile,5652368,6007603
0.39,0.22,0.16,Async,5652368,6007603
0.38,0.23,0.15,Sync,5652368,6007603
0.38,0.21,0.17,SyncTile,5652368,6007603
0.37,0.20,0.17,Sync2p,5652368,6007603
0.39,0.23,0.15,Sync2pTile,5652368,6007603
